column_name,data_type
blood_stools_clinician_txt,text
antibiotics_participant_ind,text
antibiotics_clinician_txt,text
haemorrhoids_clinician_txt,text
hiv_participant_ind,text
hiv_clinician_txt,text
hep_b_participant_ind,text
hep_b_clinician_txt,text
hep_c_participant_ind,text
hep_c_clinician_txt,text
syphilis_participant_ind,text
syphilis_clinician_txt,text
human_t_lymphotropic_participant_ind,text
human_t_lymphotropic_clinician_txt,text
malaria_participant_ind,text
malaria_clinician_txt,text
trypanosomiasis_participant_ind,text
trypanosomiasis_clinician_txt,text
tuberculosis_participant_ind,text
tuberculosis_clinician_txt,text
sexually_transmitted_disease_name,text
sexually_transmitted_disease_participant_ind,text
sexually_transmitted_disease_clinician_txt,text
live_attenuated_vaccine_clinician_txt,text
participant_email_addr,text
participant_contact_no,text
medical_condition_ind,text
travel_out_of_sg_once_a_mth_ind,text
urban_rural_destination_txt,text
travel_plans_3_6_mth_ind,text
countries_travelling_txt,text
fresh_fruits_freq_txt,text
vegetables_freq_txt,text
legumes_freq_txt,text
seafood_freq_txt,text
whole_grains_freq_txt,text
refined_grains_freq_txt,text
low_fat_dairy_freq_txt,text
high_fat_dairy_saturated_fat_freq_txt,text
sweet_food_freq_txt,text
bowel_movements_no,text
response_id,text
atopic_conditions_clinician_txt,text
interview_dt,text
interview_tm,text
clinician_name,text
sp_cd,text
participant_name,text
participant_birth_dt,text
participant_nationality_name,text
participant_home_addr,text
participant_race_name,text
participant_gender_cd,text
participant_occupation_name,text
participant_nric,text
blood_pressure_val,text
vaccinated_2_doses_ind,text
vaccination_name,text
vaccination_name_oth_txt,text
covid_19_positive_ind,text
