sequence_number,batch,analysis_id,kit_id,lab_id,project,sequence_type,sequence_version,kneaddata_fastq,stat_csv,metaphlan_file,pathway_abun,ec_abun,genes_abun,ko_abun,raw_data_forward,raw_data_reverse
MBEZCRY6ZYZH,MGG2_99,UJK83HSYHSRWB5RC,GGXA-XTBJ-6HQY,AMD1489,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/MBEZCRY6ZYZH/kneaddata/MBEZCRY6ZYZH.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/MBEZCRY6ZYZH/kneaddata/MBEZCRY6ZYZH_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/MBEZCRY6ZYZH/metaphlan/MBEZCRY6ZYZH_metaphlan.tsv,,,,,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/MBEZCRY6ZYZH_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/MBEZCRY6ZYZH_2.fastq.gz
MBEZCRY6ZYZH,MGG2_99,UJK83HSYHSRWB5RC,GGXA-XTBJ-6HQY,AMD1489,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/kneaddata/MBEZCRY6ZYZH.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/kneaddata/MBEZCRY6ZYZH_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/metaphlan/MBEZCRY6ZYZH_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/humann/MBEZCRY6ZYZH_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/humann/MBEZCRY6ZYZH_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/humann/MBEZCRY6ZYZH_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/MBEZCRY6ZYZH/humann/MBEZCRY6ZYZH_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/MBEZCRY6ZYZH_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/MBEZCRY6ZYZH_2.fastq.gz
NC4TJJ3RT2PD,MGG2_99,APF2PS7S7NXKB55S,9RST-8ENS-4FK4,AMD1526,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/NC4TJJ3RT2PD/kneaddata/NC4TJJ3RT2PD.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/NC4TJJ3RT2PD/kneaddata/NC4TJJ3RT2PD_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/NC4TJJ3RT2PD/metaphlan/NC4TJJ3RT2PD_metaphlan.tsv,,,,,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/NC4TJJ3RT2PD_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/NC4TJJ3RT2PD_2.fastq.gz
NC4TJJ3RT2PD,MGG2_99,APF2PS7S7NXKB55S,9RST-8ENS-4FK4,AMD1526,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/kneaddata/NC4TJJ3RT2PD.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/kneaddata/NC4TJJ3RT2PD_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/metaphlan/NC4TJJ3RT2PD_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/humann/NC4TJJ3RT2PD_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/humann/NC4TJJ3RT2PD_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/humann/NC4TJJ3RT2PD_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/NC4TJJ3RT2PD/humann/NC4TJJ3RT2PD_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/NC4TJJ3RT2PD_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/NC4TJJ3RT2PD_2.fastq.gz
P5UE2MZQ3A76,MGG2_99,P976J4KC2TYT94KS,SPM7-G964-6HK8,AMD1508,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/P5UE2MZQ3A76/kneaddata/P5UE2MZQ3A76.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/P5UE2MZQ3A76/kneaddata/P5UE2MZQ3A76_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/P5UE2MZQ3A76/metaphlan/P5UE2MZQ3A76_metaphlan.tsv,,,,,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/P5UE2MZQ3A76_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/P5UE2MZQ3A76_2.fastq.gz
P5UE2MZQ3A76,MGG2_99,P976J4KC2TYT94KS,SPM7-G964-6HK8,AMD1508,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/kneaddata/P5UE2MZQ3A76.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/kneaddata/P5UE2MZQ3A76_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/metaphlan/P5UE2MZQ3A76_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/humann/P5UE2MZQ3A76_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/humann/P5UE2MZQ3A76_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/humann/P5UE2MZQ3A76_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/P5UE2MZQ3A76/humann/P5UE2MZQ3A76_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/P5UE2MZQ3A76_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/P5UE2MZQ3A76_2.fastq.gz
Q889662SP3ZX,MGG2_99,SXWVDJCEAP9SZJVK,SQA6-KZSQ-F84K,AMD1539,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/Q889662SP3ZX/kneaddata/Q889662SP3ZX.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/Q889662SP3ZX/kneaddata/Q889662SP3ZX_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/Q889662SP3ZX/metaphlan/Q889662SP3ZX_metaphlan.tsv,,,,,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/Q889662SP3ZX_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/Q889662SP3ZX_2.fastq.gz
Q889662SP3ZX,MGG2_99,SXWVDJCEAP9SZJVK,SQA6-KZSQ-F84K,AMD1539,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/kneaddata/Q889662SP3ZX.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/kneaddata/Q889662SP3ZX_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/metaphlan/Q889662SP3ZX_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/humann/Q889662SP3ZX_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/humann/Q889662SP3ZX_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/humann/Q889662SP3ZX_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/Q889662SP3ZX/humann/Q889662SP3ZX_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/Q889662SP3ZX_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/Q889662SP3ZX_2.fastq.gz
SC2BKT7FAYBR,MGG2_99,JDHC6DQVT9H5HTQD,WPTR-8C3V-GY2H,AMD1549,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/SC2BKT7FAYBR/kneaddata/SC2BKT7FAYBR.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/SC2BKT7FAYBR/kneaddata/SC2BKT7FAYBR_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch_MGG2_99/SC2BKT7FAYBR/metaphlan/SC2BKT7FAYBR_metaphlan.tsv,,,,,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/SC2BKT7FAYBR_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/SC2BKT7FAYBR_2.fastq.gz
SC2BKT7FAYBR,MGG2_99,JDHC6DQVT9H5HTQD,WPTR-8C3V-GY2H,AMD1549,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/kneaddata/SC2BKT7FAYBR.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/kneaddata/SC2BKT7FAYBR_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/metaphlan/SC2BKT7FAYBR_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/humann/SC2BKT7FAYBR_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/humann/SC2BKT7FAYBR_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/humann/SC2BKT7FAYBR_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_mgg2_99/SC2BKT7FAYBR/humann/SC2BKT7FAYBR_reaction_ko.tsv,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/SC2BKT7FAYBR_1.fastq.gz,s3://amili-analysis-lab/Macrogen/sequencing-data/Batch_MGG2_99-40samples/SC2BKT7FAYBR_2.fastq.gz
