sequence_number,batch,analysis_id,kit_id,lab_id,project,sequence_type,sequence_version,kneaddata_fastq,stat_csv,metaphlan_file,pathway_abun,ec_abun,genes_abun,ko_abun,raw_data_forward,raw_data_reverse
AML-AMD0027200803,BATCH3,,AMDJ-K99V-7MSU,AMD0027,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/kneaddata/AML-AMD0027200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/kneaddata/AML-AMD0027200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/metaphlan/AML-AMD0027200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0027200803/humann/AML-AMD0027200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0027200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0027200803_2.fastq.gz
AML-AMD0166201105,BATCH4-RUN1,,AMDJ-GG9Q-EC4X,AMD0166,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/kneaddata/AML-AMD0166201105.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/kneaddata/AML-AMD0166201105_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/metaphlan/AML-AMD0166201105_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch4.1-40Samples/AML-AMD0166201105/humann/AML-AMD0166201105_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_2.fastq.gz
AML-AMD0166201105,BATCH4-RUN1,,AMDJ-GG9Q-EC4X,AMD0166,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0166201105/kneaddata/AML-AMD0166201105.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0166201105/kneaddata/AML-AMD0166201105_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0166201105/metaphlan/AML-AMD0166201105_metaphlan.tsv,,,,,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0166201105_2.fastq.gz
AMD0005Q,BATCH2,,AMDJ-AMX5-S7XK,AMD0005,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/kneaddata/decompressed_r65s_p1v_AMD0005q.R2.fastq,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/kneaddata/AMD0005q_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/metaphlan/AMD0005q_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AMD0005q/humann/AMD0005q_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_1.fastq.gz,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_2.fastq.gz
AMD0005Q,BATCH2,,AMDJ-AMX5-S7XK,AMD0005,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/kneaddata/AMD0005q_S24.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/kneaddata/AMD0005q_S24_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/metaphlan/AMD0005q_S24_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0005q_S24/humann/AMD0005q_S24_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_1.fastq.gz,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_2.fastq.gz
AMD0005Q,BATCH2,,AMDJ-AMX5-S7XK,AMD0005,AMD,SHOTGUN,v3,,,,,,,,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_1.fastq.gz,s3://amili-analysis-lab/Illumina/nobatch/AMD0005q_2.fastq.gz
AML-AMD0061200803,BATCH3,,AMDJ-4QX6-A4GT,AMD0061,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/nobatch/AML-AMD0061200803/kneaddata/AML-AMD0061200803.fastq,s3://amili-global-archive/SHOTGUN/v3/nobatch/AML-AMD0061200803/kneaddata/AML-AMD0061200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/nobatch/AML-AMD0061200803/metaphlan/AML-AMD0061200803_metaphlan.tsv,,,,,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0061200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0061200803_2.fastq.gz
AML-AMD0170201105,BATCH4-RUN1,,AMDJ-GCBN-H9FN,AMD0170,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0170201105/kneaddata/AML-AMD0170201105.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0170201105/kneaddata/AML-AMD0170201105_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_4/AML-AMD0170201105/metaphlan/AML-AMD0170201105_metaphlan.tsv,,,,,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0170201105_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch4.1-40Samples/raw/AML-AMD0170201105_2.fastq.gz
AMD0023Q,BATCH2,,AMDJ-PEA9-6NRF,AMD0023,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/kneaddata/AMD0023q_S36.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/kneaddata/AMD0023q_S36_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/metaphlan/AMD0023q_S36_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0023q_S36/humann/AMD0023q_S36_reaction_ko.tsv,,
AMD0020Q,BATCH2,,AMDJ-PA76-2CCU,AMD0020,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/kneaddata/AMD0020q_S34.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/kneaddata/AMD0020q_S34_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/metaphlan/AMD0020q_S34_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_2/AMD0020q_S34/humann/AMD0020q_S34_reaction_ko.tsv,,
AML-AMD0019200803,BATCH3,,AMDJ-APPB-FDZK,AMD0019,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/kneaddata/AML-AMD0019200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/kneaddata/AML-AMD0019200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/metaphlan/AML-AMD0019200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/humann/AML-AMD0019200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/humann/AML-AMD0019200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/humann/AML-AMD0019200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch3-80Samples/AML-AMD0019200803/humann/AML-AMD0019200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0019200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0019200803_2.fastq.gz
AML-AMD0019200803,BATCH3,,AMDJ-APPB-FDZK,AMD0019,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/kneaddata/AML-AMD0019200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/kneaddata/AML-AMD0019200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/metaphlan/AML-AMD0019200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/humann/AML-AMD0019200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/humann/AML-AMD0019200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/humann/AML-AMD0019200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0019200803/humann/AML-AMD0019200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0019200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0019200803_2.fastq.gz
AML-AMD0022200803,BATCH3,,AMDJ-J27Y-8PJH,AMD0022,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/kneaddata/AML-AMD0022200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/kneaddata/AML-AMD0022200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/metaphlan/AML-AMD0022200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/humann/AML-AMD0022200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/humann/AML-AMD0022200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/humann/AML-AMD0022200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0022200803/humann/AML-AMD0022200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0022200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0022200803_2.fastq.gz
AML-AMD0023200803,BATCH3,,AMDJ-PEA9-6NRF,AMD0023,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/kneaddata/AML-AMD0023200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/kneaddata/AML-AMD0023200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/metaphlan/AML-AMD0023200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/humann/AML-AMD0023200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/humann/AML-AMD0023200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/humann/AML-AMD0023200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0023200803/humann/AML-AMD0023200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0023200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0023200803_2.fastq.gz
AML-AMD0028200803,BATCH3,,AMDJ-T9HV-CCKD,AMD0028,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/kneaddata/AML-AMD0028200803.fastq,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/kneaddata/AML-AMD0028200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/metaphlan/AML-AMD0028200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/humann/AML-AMD0028200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/humann/AML-AMD0028200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/humann/AML-AMD0028200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/Batch3/AML-AMD0028200803/humann/AML-AMD0028200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0028200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0028200803_2.fastq.gz
AML-AMD0028200803,BATCH3,,AMDJ-T9HV-CCKD,AMD0028,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/kneaddata/AML-AMD0028200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/kneaddata/AML-AMD0028200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/metaphlan/AML-AMD0028200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/humann/AML-AMD0028200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/humann/AML-AMD0028200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/humann/AML-AMD0028200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0028200803/humann/AML-AMD0028200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0028200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0028200803_2.fastq.gz
AML-AMD0029200803,BATCH3,,AMDJ-U9K3-6QEX,AMD0029,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/kneaddata/AML-AMD0029200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/kneaddata/AML-AMD0029200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/metaphlan/AML-AMD0029200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/humann/AML-AMD0029200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/humann/AML-AMD0029200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/humann/AML-AMD0029200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0029200803/humann/AML-AMD0029200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0029200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0029200803_2.fastq.gz
AML-AMD0033200803,BATCH3,,AMDJ-5HDD-QDD5,AMD0033,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/kneaddata/AML-AMD0033200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/kneaddata/AML-AMD0033200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/metaphlan/AML-AMD0033200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/humann/AML-AMD0033200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/humann/AML-AMD0033200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/humann/AML-AMD0033200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0033200803/humann/AML-AMD0033200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0033200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0033200803_2.fastq.gz
AML-AMD0035200803,BATCH3,,AMDJ-UYDK-357M,AMD0035,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/kneaddata/AML-AMD0035200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/kneaddata/AML-AMD0035200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/metaphlan/AML-AMD0035200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/humann/AML-AMD0035200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/humann/AML-AMD0035200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/humann/AML-AMD0035200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0035200803/humann/AML-AMD0035200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0035200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0035200803_2.fastq.gz
AML-AMD0042200803,BATCH3,,AMDJ-N2ZR-PXFX,AMD0042,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/kneaddata/AML-AMD0042200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/kneaddata/AML-AMD0042200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/metaphlan/AML-AMD0042200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/humann/AML-AMD0042200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/humann/AML-AMD0042200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/humann/AML-AMD0042200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0042200803/humann/AML-AMD0042200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0042200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0042200803_2.fastq.gz
AML-AMD0045200803,BATCH3,,AMDJ-M3DV-UAR2,AMD0045,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/kneaddata/AML-AMD0045200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/kneaddata/AML-AMD0045200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/metaphlan/AML-AMD0045200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/humann/AML-AMD0045200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/humann/AML-AMD0045200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/humann/AML-AMD0045200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0045200803/humann/AML-AMD0045200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0045200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0045200803_2.fastq.gz
AML-AMD0046200803,BATCH3,,AMDJ-2HDA-5J29,AMD0046,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/kneaddata/AML-AMD0046200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/kneaddata/AML-AMD0046200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/metaphlan/AML-AMD0046200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/humann/AML-AMD0046200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/humann/AML-AMD0046200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/humann/AML-AMD0046200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0046200803/humann/AML-AMD0046200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0046200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0046200803_2.fastq.gz
AML-AMD0048200803,BATCH3,,AMDJ-9AAQ-ZJHG,AMD0048,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/kneaddata/AML-AMD0048200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/kneaddata/AML-AMD0048200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/metaphlan/AML-AMD0048200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/humann/AML-AMD0048200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/humann/AML-AMD0048200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/humann/AML-AMD0048200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0048200803/humann/AML-AMD0048200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0048200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0048200803_2.fastq.gz
AML-AMD0052200803,BATCH3,,AMDJ-C8FH-H4QT,AMD0052,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/kneaddata/AML-AMD0052200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/kneaddata/AML-AMD0052200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/metaphlan/AML-AMD0052200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/humann/AML-AMD0052200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/humann/AML-AMD0052200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/humann/AML-AMD0052200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0052200803/humann/AML-AMD0052200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0052200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0052200803_2.fastq.gz
AML-AMD0055200803,BATCH3,,AMDJ-2KSQ-QM5D,AMD0055,AMD,SHOTGUN,v3,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/kneaddata/AML-AMD0055200803.fastq,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/kneaddata/AML-AMD0055200803_stat.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/metaphlan/AML-AMD0055200803_metaphlan.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/humann/AML-AMD0055200803_pathabundance.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/humann/AML-AMD0055200803_reaction_ec.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/humann/AML-AMD0055200803_genefamilies.tsv,s3://amili-global-archive/SHOTGUN/v3/batch_3/AML-AMD0055200803/humann/AML-AMD0055200803_reaction_ko.tsv,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0055200803_1.fastq.gz,s3://amili-analysis-lab/Illumina/Input/Batch3-80Samples/raw/AML-AMD0055200803_2.fastq.gz
